QuestionId,ranking
0,22
1,442
2,211
3,683
4,49
5,524
6,802
7,18
8,177
9,503
10,11
11,51
12,599
13,723
14,589
15,426
16,688
17,383
18,57
19,666
20,941
21,513
22,213
23,263
24,675
25,614
26,181
27,285
28,841
29,850
30,189
31,781
32,813
33,418
34,780
35,784
36,146
37,752
38,182
39,278
40,134
41,315
42,247
43,832
44,517
45,198
46,41
47,838
48,206
49,1
50,447
51,78
52,699
53,184
54,69
55,226
56,879
57,876
58,217
59,535
60,754
61,258
62,119
63,423
64,712
65,558
66,354
67,100
68,330
69,613
70,59
71,21
72,105
73,684
74,543
75,508
76,372
77,114
78,687
79,356
80,598
81,570
82,227
83,882
84,246
85,61
86,540
87,549
88,450
89,708
90,602
91,40
92,178
93,196
94,224
95,135
96,401
97,466
98,897
99,389
100,644
101,199
102,667
103,788
104,689
105,521
106,353
107,482
108,410
109,560
110,131
111,810
112,555
113,473
114,565
115,891
116,930
117,446
118,498
119,403
120,265
121,140
122,733
123,492
124,197
125,665
126,542
127,815
128,656
129,320
130,257
131,557
132,402
133,694
134,821
135,662
136,193
137,888
138,849
139,409
140,534
141,577
142,87
143,616
144,460
145,500
146,290
147,563
148,107
149,846
150,64
151,377
152,102
153,433
154,605
155,696
156,412
157,893
158,529
159,38
160,485
161,501
162,13
163,892
164,903
165,89
166,128
167,14
168,827
169,260
170,650
171,459
172,321
173,284
174,20
175,461
176,700
177,190
178,579
179,378
180,770
181,75
182,660
183,31
184,682
185,795
186,161
187,305
188,151
189,155
190,617
191,628
192,491
193,303
194,552
195,824
196,254
197,80
198,669
199,519
200,671
201,348
202,530
203,847
204,526
205,91
206,192
207,609
208,331
209,776
210,129
211,645
212,185
213,585
214,704
215,256
216,668
217,97
218,207
219,376
220,873
221,393
222,544
223,809
224,86
225,902
226,148
227,942
228,291
229,591
230,115
231,905
232,176
233,72
234,731
235,269
236,747
237,19
238,633
239,474
240,721
241,219
242,205
243,771
244,457
245,648
246,698
247,711
248,867
249,652
250,567
251,323
252,690
253,812
254,637
255,287
256,899
257,791
258,327
259,925
260,702
261,88
262,373
263,103
264,298
265,144
266,869
267,455
268,55
269,886
270,910
271,53
272,746
273,118
274,864
275,590
276,46
277,355
278,755
279,163
280,463
281,860
282,73
283,654
284,676
285,296
286,169
287,417
288,407
289,233
290,685
291,364
292,209
293,659
294,427
295,908
296,759
297,90
298,600
299,476
300,881
301,308
302,453
303,32
304,395
305,727
306,793
307,56
308,367
309,923
310,2
311,820
312,523
313,470
314,778
315,619
316,167
317,924
318,145
319,70
320,936
321,912
322,674
323,889
324,65
325,553
326,237
327,342
328,338
329,133
330,928
331,707
332,334
333,34
334,116
335,238
336,281
337,822
338,42
339,374
340,394
341,361
342,30
343,939
344,561
345,428
346,527
347,625
348,634
349,828
350,732
351,71
352,877
353,109
354,445
355,391
356,307
357,436
358,137
359,774
360,829
361,141
362,601
363,946
364,352
365,582
366,664
367,836
368,719
369,505
370,83
371,5
372,345
373,33
374,837
375,672
376,806
377,611
378,396
379,241
380,346
381,904
382,309
383,618
384,339
385,4
386,547
387,62
388,174
389,173
390,160
391,604
392,293
393,467
394,932
395,913
396,742
397,465
398,848
399,397
400,853
401,743
402,304
403,799
404,299
405,658
406,885
407,834
408,794
409,647
410,679
411,234
412,387
413,516
414,686
415,175
416,117
417,779
418,139
419,249
420,528
421,823
422,564
423,93
424,575
425,472
426,789
427,441
428,411
429,490
430,362
431,695
432,720
433,180
434,8
435,113
436,642
437,17
438,515
439,825
440,657
441,741
442,142
443,531
444,772
445,292
446,670
447,907
448,220
449,610
450,357
451,640
452,944
453,325
454,388
455,136
456,245
457,643
458,839
459,762
460,818
461,576
462,831
463,811
464,566
465,898
466,583
467,313
468,880
469,767
470,96
471,165
472,765
473,541
474,624
475,366
476,596
477,414
478,639
479,317
480,649
481,480
482,833
483,16
484,183
485,235
486,170
487,195
488,901
489,449
490,677
491,239
492,573
493,35
494,123
495,157
496,259
497,808
498,225
499,425
500,110
501,895
502,277
503,95
504,504
505,678
506,67
507,865
508,875
509,48
510,255
511,641
512,926
513,424
514,868
515,270
516,940
517,874
518,471
519,769
520,506
521,507
522,63
523,266
524,52
525,584
526,360
527,758
528,392
529,753
530,559
531,248
532,126
533,329
534,368
535,138
536,319
537,556
538,311
539,587
540,718
541,202
542,251
543,274
544,862
545,603
546,166
547,748
548,149
549,350
550,663
551,264
552,370
553,726
554,416
555,68
556,328
557,857
558,722
559,94
560,9
561,539
562,631
563,537
564,499
565,404
566,533
567,883
568,859
569,725
570,863
571,595
572,369
573,229
574,572
575,81
576,444
577,909
578,911
579,805
580,359
581,520
582,347
583,99
584,358
585,548
586,273
587,84
588,203
589,158
590,279
591,440
592,385
593,489
594,187
595,228
596,104
597,475
598,514
599,592
600,153
601,159
602,400
603,419
604,108
605,37
606,429
607,351
608,434
609,462
610,406
611,130
612,856
613,23
614,651
615,152
616,574
617,26
618,101
619,371
620,188
621,716
622,568
623,147
624,191
625,814
626,122
627,85
628,15
629,693
630,435
631,509
632,452
633,536
634,545
635,790
636,739
637,569
638,623
639,819
640,210
641,77
642,382
643,734
644,782
645,871
646,775
647,172
648,143
649,843
650,751
651,922
652,842
653,242
654,945
655,324
656,750
657,546
658,252
659,787
660,408
661,522
662,164
663,301
664,375
665,854
666,578
667,127
668,697
669,792
670,36
671,380
672,638
673,861
674,54
675,464
676,341
677,713
678,760
679,479
680,438
681,120
682,622
683,915
684,615
685,724
686,701
687,785
688,773
689,947
690,918
691,289
692,890
693,851
694,98
695,934
696,390
697,632
698,44
699,335
700,906
701,288
702,106
703,691
704,512
705,730
706,236
707,653
708,493
709,244
710,884
711,45
712,483
713,736
714,709
715,477
716,200
717,894
718,250
719,635
720,692
721,917
722,415
723,630
724,914
725,201
726,82
727,919
728,571
729,262
730,432
731,916
732,28
733,835
734,60
735,636
736,240
737,448
738,783
739,803
740,381
741,714
742,538
743,333
744,186
745,398
746,554
747,872
748,29
749,681
750,797
751,620
752,310
753,786
754,586
755,218
756,606
757,420
758,798
759,111
760,454
761,511
762,208
763,179
764,807
765,938
766,275
767,223
768,222
769,154
770,612
771,261
772,931
773,855
774,10
775,76
776,314
777,66
778,735
779,764
780,439
781,562
782,937
783,933
784,608
785,318
786,580
787,768
788,816
789,717
790,344
791,518
792,626
793,399
794,340
795,214
796,817
797,282
798,39
799,629
800,3
801,326
802,935
803,766
804,156
805,655
806,232
807,737
808,204
809,551
810,430
811,680
812,267
813,715
814,927
815,920
816,497
817,921
818,58
819,74
820,740
821,162
822,50
823,800
824,525
825,456
826,125
827,332
828,486
829,488
830,337
831,826
832,431
833,112
834,495
835,866
836,300
837,738
838,276
839,451
840,588
841,422
842,870
843,550
844,79
845,729
846,194
847,421
848,728
849,271
850,286
851,386
852,47
853,405
854,594
855,705
856,6
857,92
858,168
859,215
860,468
861,510
862,7
863,646
864,900
865,349
866,744
867,706
868,295
869,171
870,322
871,343
872,896
873,43
874,306
875,312
876,484
877,221
878,24
879,27
880,243
881,593
882,25
883,852
884,384
885,363
886,858
887,297
888,887
889,478
890,212
891,532
892,581
893,487
894,830
895,302
896,757
897,469
898,502
899,840
900,929
901,777
902,280
903,230
904,121
